Gender,Age,Family members count,Current residence,Parents status,Guardian,Fathers education,Mothers education,Guardians monthly income,self_supporting_activity,monthly_income,gpa_software_eng_intro,gpa_formal_methods,gpa_req_eng,gpa_sda,gpa_spm,gpa_sqe,gpa_se_testing,gpa_se_design_patterns,gpa_sc,gpa_ict,gpa_pf,gpa_discrete,gpa_ppit,gpa_oop,gpa_dsa,gpa_se_concepts,gpa_coal,gpa_db,gpa_dip,gpa_algo,gpa_os,gpa_ccn,gpa_cg,gpa_numerical,gpa_webtech,gpa_hci,gpa_gamedev,gpa_automata,gpa_ids,gpa_mobiledev,gpa_ai,gpa_processor_assembly,gpa_compiler_construction,gpa_ml,gpa_infosec,gpa_software_proc_improv,gpa_cv,gpa_data_security,previous sgpa,matric percentage,school scholarship?,intermediate_background,intermediate_percentage,college scholarship?,nts_score,Program,reason_for_program_choice,interest_in_domain,program_satisfaction,current_semester,current_cgpa,uni_scholarship?,paying_fees_status,mode_of_study,subject_difficulty,subject_interest,certificates_or_diploma,library_visits_frequency,study_preference,borrow_books,online_lectures_usage,daily_study_hours,self_study_days,health_status,disability_status,daily_freetime,teacher_methodology_preference,time_with_family_friends,commute_time_to_university,physical_exercise_time,love_travelling,preferred_eating_places,participate_in_cocurriculars,group_study_preference,book_reading_interest,socializing_interest,preferred_spare_time_activities,time_in_spare_activities,family_relationship_quality,internet_access,learning_speed,familysupport_ineducation,graduation_risk_perception,Self-Discipline,Hard Working,Punctuality,Politeness,Team Player,Confidence,Responsible,importance_of_grades,Do you take nutritions.,Do you love sports?,Do you value and have confidence of your opinions?,sleep_time? (7-8 hours)],Do you do self-directed learning?,study burnout,semester success belief,weather impact on focus,study planning,task consistency,Pass/Fail,marks,Grades
1,23,6,2,2,0,7,8,11,40,1,6,5,4,8,8,8,9,9,9,7,7,6,9,7,5,9,9,7,9,9,6,5,9,9,9,8,9,9,5,9,9,9,8,9,9,9,8,7,2.9,89.0,1,1,67.0,0,89.0,1,23,5.0,5,5,2.9,0,3,0,1,5,2,3,1,1,4,8,5,3.0,0,9,1.0,0,7,2,5,0,3,7,1,3,52,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,2,1,3,4,1,3,4,3,1,Pass,60.11147,C+
0,20,9,2,2,1,5,8,11,40,1,4,6,1,8,8,8,9,9,9,4,2,3,9,1,2,9,9,1,9,9,1,5,9,9,9,8,9,9,1,9,9,9,8,9,9,9,8,7,2.4,89.0,1,3,75.0,0,75.0,1,23,3.0,1,5,2.7,0,3,0,3,2,1,4,0,2,0,1,33,3.0,0,0,3.0,1,2,1,3,1,4,5,3,0,138,0,0,0,2,0,2,0,0,2,0,2,0,2,0,2,3,2,0,2,0,0,2,0,2,Pass,79.44092,B+
1,24,11,0,2,0,16,13,5,10,4,4,0,0,2,3,3,0,9,9,3,1,3,9,1,3,9,9,1,9,9,9,2,9,9,2,3,4,9,1,3,9,9,8,9,9,9,8,7,2.2,88.0,0,1,79.0,0,66.0,1,11,3.0,2,7,2.3,1,2,0,4,2,1,4,1,4,0,8,14,4.0,0,3,4.0,7,6,2,4,0,0,10,3,0,45,3,3,4,1,0,4,2,2,1,2,0,0,1,3,3,0,2,2,2,0,4,2,2,4,Pass,71.618416,A-
1,22,5,2,2,0,7,3,11,20,9,5,6,8,8,8,8,9,9,9,4,1,6,9,7,4,9,9,5,9,9,9,3,9,9,9,8,9,9,4,9,9,9,8,9,9,9,8,7,2.92,87.0,1,1,81.0,1,77.0,1,9,3.0,4,5,3.07,0,3,0,2,3,1,3,0,3,0,0,5,5.0,0,2,4.0,7,7,0,1,0,1,10,3,4,53,1,0,0,2,0,1,0,2,2,2,2,2,2,1,0,0,0,0,0,1,0,4,0,0,Pass,52.557056,B
1,22,3,2,0,2,5,7,11,3,10,3,2,3,8,8,8,9,9,9,5,5,3,9,5,5,9,9,5,9,9,9,4,9,9,9,8,9,9,4,9,9,9,8,9,9,9,8,7,2.92,94.0,0,1,67.0,1,69.0,1,37,3.0,4,5,2.89,0,3,0,3,3,1,3,1,1,2,8,5,5.0,0,4,3.0,1,4,2,5,1,1,1,5,2,115,4,1,2,2,0,1,2,2,2,1,3,2,2,1,1,2,2,2,2,3,2,4,4,0,Pass,60.035385,B+
1,21,4,2,2,0,9,3,2,10,10,7,5,7,8,8,8,9,9,9,7,7,5,9,7,6,9,9,7,9,9,5,5,9,9,9,8,9,9,5,9,9,9,8,9,9,9,8,7,3.3,80.0,0,3,75.0,0,86.0,1,31,5.0,5,4,3.2,0,3,1,1,3,2,4,0,3,2,0,14,4.0,0,4,4.0,0,7,3,2,0,3,7,3,4,11,1,2,0,2,0,1,2,1,0,0,2,2,0,1,4,3,2,0,2,3,0,2,4,4,Pass,90.88934,A-
1,19,5,3,2,1,3,3,5,52,10,4,3,9,8,8,8,9,9,9,7,7,7,9,6,4,9,9,7,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.3,93.0,0,1,73.0,1,83.0,1,26,3.0,2,4,3.3,1,2,1,3,2,1,3,1,1,0,1,4,4.0,0,8,1.0,0,3,1,3,0,3,10,1,0,131,4,2,2,2,0,1,2,2,0,2,0,1,0,1,4,0,2,3,2,3,0,2,4,0,Pass,65.40523,B
1,21,7,3,2,1,5,3,11,24,9,7,5,9,8,8,8,9,9,9,8,7,7,9,8,7,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.21,78.0,0,3,84.0,1,97.0,1,23,5.0,4,4,3.54,0,3,0,2,4,1,3,1,1,4,2,32,5.0,0,2,3.0,0,3,3,5,1,2,7,3,0,131,0,2,2,0,0,1,2,2,2,0,0,0,0,3,2,2,0,3,0,4,0,4,0,3,Pass,71.125305,A-
1,21,4,2,0,2,5,3,2,2,9,6,2,9,8,8,8,9,9,9,4,5,3,9,6,3,9,9,6,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.79,853.0,0,0,803.0,1,73.0,1,23,4.0,4,4,2.86,0,3,0,3,3,1,3,1,1,2,0,4,4.0,0,4,3.0,0,8,2,4,0,1,1,4,3,138,1,0,0,2,0,1,1,2,0,2,2,0,1,3,1,0,0,0,2,4,2,1,2,4,Pass,59.45797,B
1,20,7,2,2,1,9,3,16,10,7,5,4,9,8,8,8,9,9,9,7,5,6,9,6,5,5,9,7,9,9,9,9,9,9,7,8,9,9,9,9,9,9,8,9,9,9,8,7,3.3,85.0,0,1,82.0,0,85.0,1,29,5.0,5,4,3.1,0,3,0,3,5,2,4,1,1,2,6,6,4.0,0,1,2.0,2,3,3,5,1,4,5,4,2,74,1,0,0,0,0,1,2,0,0,0,2,0,0,4,0,2,0,4,2,3,2,2,2,2,Pass,60.203705,B
0,21,6,2,2,0,5,6,14,41,9,4,0,0,0,0,0,0,0,0,2,4,1,9,0,4,9,9,5,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.45,85.0,0,3,81.0,0,71.0,1,23,4.0,5,4,2.96,0,3,0,3,4,0,4,1,2,0,2,37,3.0,0,3,2.0,1,1,2,5,0,3,10,4,0,131,1,2,0,1,0,3,1,0,3,1,2,0,2,1,1,2,0,2,4,3,0,2,3,4,Pass,90.02583,B+
1,22,4,3,1,2,12,6,5,7,9,6,3,9,8,8,8,9,9,9,6,7,7,9,2,6,4,9,5,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.2,91.5,1,1,78.0,0,81.0,1,18,4.0,4,4,3.1,1,2,0,3,3,2,3,1,3,2,0,4,4.0,0,4,3.0,7,5,1,4,0,4,7,4,3,117,7,2,2,2,0,4,1,2,1,0,2,2,0,1,1,2,2,0,4,4,2,4,2,4,Pass,79.89832,B
1,20,7,4,2,1,10,8,16,41,9,6,7,9,8,8,8,9,9,9,8,8,7,9,8,5,9,9,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.7,89.0,0,3,90.0,0,60.0,1,29,5.0,5,4,3.7,1,2,0,3,4,2,2,1,2,0,2,50,4.0,0,8,2.0,7,4,3,5,0,4,10,4,2,110,0,0,0,2,0,1,2,2,1,2,2,1,0,4,4,0,0,3,2,2,0,2,2,2,Pass,70.27777,A-
0,21,6,2,2,1,0,6,2,41,9,7,5,6,5,3,6,9,9,9,7,7,6,6,5,6,0,0,4,2,9,9,2,9,2,1,1,9,9,3,3,9,9,8,9,9,9,8,7,3.4,93.0,1,1,87.0,0,74.0,1,36,3.0,3,7,3.07,1,0,0,3,3,1,0,1,1,2,1,30,4.0,0,2,3.0,4,9,1,3,0,1,1,4,3,56,2,0,0,2,0,1,2,0,0,2,3,1,0,1,2,4,0,4,2,2,0,2,2,3,Pass,92.87117,C+
0,22,7,2,2,1,5,7,0,10,4,6,3,4,3,8,4,9,9,9,5,3,4,6,3,5,9,9,6,0,9,9,6,9,6,7,8,9,9,2,9,9,9,8,9,9,9,8,7,3.7,75.0,0,3,82.0,0,77.0,1,11,3.0,3,7,2.89,0,3,1,3,3,1,2,0,1,4,1,4,4.0,0,1,3.0,1,4,1,5,1,1,10,1,4,128,5,2,0,2,0,3,2,2,2,2,2,2,2,1,3,2,2,2,3,4,2,2,2,3,Pass,73.3141,B+
1,19,5,2,2,0,9,3,14,10,10,9,8,9,8,8,8,9,9,9,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3.72,82.0,0,3,82.0,0,82.0,0,23,5.0,5,1,3.72,0,3,0,1,4,1,2,1,1,0,2,45,3.0,0,3,3.0,0,8,3,3,0,4,7,5,4,22,2,2,0,2,0,3,2,2,0,2,2,1,2,1,1,2,0,4,0,2,0,0,4,2,Pass,82.772224,B+
1,19,7,0,2,1,9,6,2,45,9,9,8,9,8,8,8,9,9,9,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.7,97.0,1,1,90.0,1,81.0,0,11,4.0,3,1,2.7,0,3,1,4,3,1,2,1,1,2,2,14,5.0,0,4,3.0,7,0,2,5,1,4,11,2,0,34,1,2,0,1,3,3,2,1,1,1,0,0,2,4,4,4,4,4,4,4,4,4,4,4,Pass,69.6858,A-
1,19,4,3,2,0,9,3,14,41,9,9,8,9,8,8,8,9,9,9,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.37,83.0,1,4,92.0,0,86.0,0,29,4.0,3,1,3.37,0,3,0,4,2,1,4,1,1,2,8,5,3.0,0,8,3.0,7,5,3,3,0,4,1,4,2,89,8,2,0,2,2,3,2,2,0,0,2,2,2,4,4,0,4,1,4,0,2,2,3,3,Pass,81.542595,C
1,21,5,3,2,0,9,3,4,41,9,9,8,1,8,1,8,9,9,9,3,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,1.81,80.0,1,0,78.0,1,86.0,0,11,3.0,3,1,1.81,0,3,1,3,2,1,4,1,4,0,8,0,4.0,0,9,3.0,1,3,0,5,0,0,1,4,2,53,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,0,2,0,0,3,2,2,4,2,Pass,64.61228,B+
1,19,6,2,2,0,9,12,3,41,9,9,8,9,8,8,8,9,9,9,5,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.94,80.0,0,3,64.9,0,86.0,0,33,4.0,5,1,2.94,0,3,0,2,4,2,4,1,1,2,0,44,4.0,0,0,3.0,1,2,3,4,1,4,5,4,3,22,2,2,0,1,0,0,1,2,2,0,0,3,1,1,1,3,4,3,2,2,2,2,2,0,Pass,57.881702,B
0,21,3,0,1,1,5,3,5,41,9,9,8,9,8,8,8,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.46,94.0,0,2,86.0,0,77.0,0,11,3.0,3,1,2.46,0,3,0,3,3,1,4,1,3,3,0,40,3.0,0,4,3.0,0,0,2,4,0,4,10,5,4,138,1,2,2,1,0,4,2,1,1,0,2,1,0,1,2,4,2,0,2,0,2,0,2,2,Pass,68.08187,B
1,19,6,3,2,0,5,6,2,45,10,9,8,9,8,8,8,9,9,9,2,8,9,4,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.55,90.0,0,1,1009.0,0,75.0,0,33,4.0,3,1,2.55,0,3,0,5,1,0,0,0,1,3,1,40,5.0,0,8,3.0,7,1,2,5,0,4,7,1,2,123,7,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,2,2,0,2,4,2,0,Pass,84.0783,A-
1,20,5,2,2,0,9,3,14,41,10,9,8,9,8,8,8,9,9,9,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.13,90.0,0,1,74.0,0,78.0,0,29,3.0,3,1,2.13,0,3,0,4,2,1,3,1,3,4,0,44,2.0,0,3,1.0,7,4,2,5,0,4,7,4,3,82,2,1,0,1,2,2,2,1,2,0,0,1,2,3,3,4,3,3,4,0,3,0,4,2,Pass,72.17989,B+
1,19,4,3,2,1,5,3,15,41,9,9,8,9,8,8,8,9,9,9,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,1.86,94.0,1,3,937.0,1,88.0,0,11,4.0,3,1,1.86,0,3,1,2,3,1,4,1,1,2,0,4,3.0,0,1,3.0,7,7,1,5,1,4,5,3,0,117,6,2,0,2,4,4,0,2,2,0,0,2,0,3,0,2,0,3,4,2,0,2,0,2,Pass,64.47474,B-
1,18,5,0,0,2,5,1,0,41,9,9,8,9,8,8,8,9,9,9,3,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.51,88.7,1,1,88.9,0,83.0,0,9,5.0,4,1,2.51,0,3,0,3,4,1,2,0,1,0,1,4,3.0,0,3,3.0,0,0,2,4,1,4,1,3,2,11,1,0,0,0,0,1,2,0,3,3,2,2,0,0,4,0,2,0,0,0,0,0,1,4,Pass,58.72328,B-
1,18,6,0,2,0,5,3,0,41,9,9,8,9,8,8,8,9,9,9,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.6,84.0,0,3,66.0,0,84.0,0,23,4.0,3,1,3.6,0,3,0,4,4,2,2,1,1,0,1,5,4.0,0,0,4.0,7,3,2,4,1,3,10,2,2,82,8,2,0,1,2,4,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,Pass,65.525856,B+
1,18,6,2,2,0,9,7,14,41,9,9,8,9,8,8,8,9,9,9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,1.64,89.0,0,1,82.0,0,77.0,0,11,3.0,2,1,1.54,0,3,0,5,2,1,3,1,1,4,8,5,4.0,0,0,4.0,7,9,3,4,1,2,10,2,2,93,0,2,0,1,0,2,2,2,2,2,2,2,2,4,1,0,2,4,4,2,3,3,3,3,Pass,62.218395,A-
1,18,4,0,2,0,5,7,11,41,9,9,8,9,8,8,8,9,9,9,3,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.37,93.6,0,1,77.4,0,81.0,0,11,4.0,4,1,2.37,0,3,0,3,3,1,2,1,1,2,2,37,3.0,0,4,3.0,7,4,2,3,0,4,5,4,3,15,9,1,2,2,0,4,2,2,0,0,0,1,2,4,2,4,2,2,2,2,0,4,2,2,Pass,72.00577,B
1,19,4,2,2,0,9,7,8,41,9,9,8,9,8,8,8,9,9,9,6,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.37,93.0,0,1,91.0,1,82.0,0,23,5.0,4,1,3.37,0,3,0,3,3,1,3,1,1,4,3,14,3.0,0,2,3.0,0,7,0,5,1,3,7,3,4,111,1,0,0,0,0,1,1,2,2,1,2,0,1,1,2,2,2,4,0,2,0,0,2,2,Pass,51.00714,A
1,18,6,2,2,0,5,8,8,18,9,9,8,9,8,8,8,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.29,83.0,0,3,82.0,0,83.0,0,23,4.0,4,1,3.29,0,3,0,2,4,1,3,1,1,4,0,5,4.0,0,3,2.0,1,7,2,3,1,0,10,2,4,27,2,0,0,0,0,1,2,1,2,2,0,2,0,1,4,2,0,4,4,4,2,3,3,4,Pass,86.58488,C
1,20,4,2,2,0,7,3,14,41,9,9,8,9,8,8,8,9,9,9,3,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,1.7,90.0,0,3,68.0,0,80.0,0,11,3.0,2,1,1.7,0,3,0,4,3,1,4,1,3,0,1,4,1.0,0,0,4.0,0,8,2,5,0,2,10,5,0,131,8,2,0,2,0,2,2,0,0,2,2,2,1,0,0,2,0,0,2,0,0,0,2,2,Pass,73.34252,A-
1,20,7,4,2,1,10,8,11,41,9,9,8,9,8,8,8,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.16,97.0,0,2,97.0,0,77.0,0,7,1.0,1,1,2.16,0,3,1,5,2,1,3,1,3,4,8,0,1.0,0,4,2.0,7,4,3,3,1,1,10,2,4,53,8,1,2,1,0,0,1,3,1,1,3,3,3,4,1,2,3,0,1,2,4,0,2,1,Pass,67.354195,A-
1,19,5,3,2,0,7,6,11,1,9,9,8,9,8,8,8,9,9,9,8,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.76,88.0,0,3,63.9,0,80.0,0,29,5.0,4,1,2.76,0,3,0,2,4,0,2,1,1,0,8,5,4.0,0,3,2.0,2,3,0,5,0,0,7,3,4,93,3,2,0,2,0,1,2,0,2,0,1,2,2,3,2,0,0,4,0,4,4,4,4,2,Pass,79.14525,A-
1,19,8,2,2,1,10,8,5,10,10,9,8,9,8,8,8,9,9,9,5,4,4,9,1,6,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.71,92.0,1,1,87.0,0,87.0,1,11,5.0,5,2,2.8,0,3,0,3,4,1,4,1,4,3,1,41,5.0,0,0,4.0,7,1,2,4,0,4,10,5,1,81,0,0,0,2,0,3,0,0,2,0,0,2,0,4,2,0,2,3,3,4,4,4,4,4,Pass,61.93518,B
1,20,5,0,2,0,5,3,16,41,9,9,8,9,8,8,8,9,9,9,5,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,2.5,93.0,1,2,82.0,0,140.0,1,11,4.0,4,2,2.5,0,3,1,3,3,1,4,1,3,0,0,4,5.0,0,4,4.0,1,0,2,5,0,2,5,4,2,53,0,0,0,2,0,1,2,1,1,2,2,1,2,4,2,0,2,0,2,3,0,1,2,2,Pass,66.79238,D
1,20,6,2,2,0,3,8,16,41,1,9,8,9,8,8,8,9,9,9,6,7,5,9,6,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.0,96.0,1,2,81.0,1,75.0,1,23,5.0,5,2,3.07,0,3,1,3,5,1,4,1,1,2,1,4,4.0,0,1,4.0,1,4,2,5,0,4,5,3,2,34,2,2,0,2,0,1,2,2,2,0,2,0,0,1,1,2,2,2,2,3,0,4,2,2,Pass,73.03696,B
1,21,5,2,2,0,9,7,2,10,9,9,8,9,8,8,8,9,9,9,6,8,7,9,8,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.66,96.0,0,1,85.0,0,83.0,1,29,4.0,4,2,3.71,0,3,0,4,2,1,2,1,1,0,8,6,4.0,0,8,2.0,7,2,1,2,0,4,1,4,2,72,8,2,2,1,0,4,2,2,1,0,1,2,2,1,4,2,0,0,2,2,2,4,4,4,Pass,55.525337,B+
1,20,7,2,2,0,10,6,14,40,7,9,8,9,8,8,8,9,9,9,7,8,6,9,8,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.75,95.36,0,2,92.9,0,100.0,1,23,5.0,5,2,3.72,0,3,0,1,5,1,0,1,0,0,3,37,5.0,0,2,5.0,0,4,2,4,0,2,7,5,0,54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,2,2,Pass,62.204838,B+
